,reg_method,weight,loss,forget_rate,xQf,alpha,xQr,correlated_update
24,2nd_approach,0.006551285568595509,0.5493923,0.0,0.953 xQf[k],0.25,519.368 1 + 0.767 xQr[k] + -519.134 cr[k] + -519.356 c(1-r)[k],False
25,2nd_approach,0.00868511373751352,0.5894164,0.0,0.981 xQf[k],0.25,-193.829 1 + 0.751 xQr[k] + 194.081 cr[k] + 193.815 c(1-r)[k],False
26,2nd_approach,0.01151395399326447,0.5738978,0.0,0.961 xQf[k],0.25,-473.685 1 + 0.754 xQr[k] + 473.940 cr[k] + 473.705 c(1-r)[k],False
27,2nd_approach,0.015264179671752334,0.5743385,0.0,0.048 1 + 0.900 xQf[k],0.25,0.049 1 + 0.830 xQr[k] + 0.122 cr[k],False
28,2nd_approach,0.020235896477251575,0.5768859,0.0,1.007 xQf[k],0.25,57.222 1 + 0.759 xQr[k] + -56.977 cr[k] + -57.161 c(1-r)[k],False
29,2nd_approach,0.026826957952797246,0.5683935,0.0,0.988 xQf[k],0.25,229.066 1 + 0.742 xQr[k] + -228.810 cr[k] + -229.043 c(1-r)[k],False
30,2nd_approach,0.03556480306223128,0.5615752,0.0,0.983 xQf[k],0.25,-302.190 1 + 0.774 xQr[k] + 302.427 cr[k] + 302.172 c(1-r)[k],False
31,2nd_approach,0.04714866363457394,0.5795793,0.0,1.097 xQf[k],0.25,287.302 1 + 0.768 xQr[k] + -287.067 cr[k] + -287.293 c(1-r)[k],False
32,2nd_approach,0.0625055192527397,0.5932508,0.0,0.968 xQf[k],0.25,-119.307 1 + 0.762 xQr[k] + 119.543 cr[k] + 119.343 c(1-r)[k],False
33,2nd_approach,0.08286427728546843,0.5541191,0.0,0.962 xQf[k],0.25,1092.064 1 + 0.859 xQr[k] + -1091.943 cr[k] + -1092.071 c(1-r)[k],False
34,2nd_approach,0.10985411419875572,0.5691727,0.0,1.036 xQf[k],0.25,0.058 1 + 0.814 xQr[k] + 0.124 cr[k] + -0.066 c(1-r)[k],False
35,2nd_approach,0.14563484775012445,0.5637422,0.0,1.050 xQf[k],0.25,-62.511 1 + 0.796 xQr[k] + 62.722 cr[k] + 62.517 c(1-r)[k],False
36,2nd_approach,0.19306977288832497,0.5699479,0.0,1.066 xQf[k],0.25,-25.355 1 + 0.833 xQr[k] + 25.519 cr[k] + 25.346 c(1-r)[k],False
37,2nd_approach,0.2559547922699533,0.5680171,0.0,0.923 xQf[k],0.25,88.253 1 + 0.829 xQr[k] + -88.076 cr[k] + -88.239 c(1-r)[k],False
38,2nd_approach,0.33932217718953295,0.5595559,0.0,0.989 xQf[k],0.25,223.800 1 + 0.828 xQr[k] + -223.613 cr[k] + -223.786 c(1-r)[k],False
39,2nd_approach,0.4498432668969444,0.5616251,0.0,0.961 xQf[k],0.25,-24.917 1 + 0.849 xQr[k] + 25.068 cr[k] + 24.930 c(1-r)[k],False
40,2nd_approach,0.5963623316594636,0.5665563,0.0,0.985 xQf[k],0.25,25.781 1 + 0.847 xQr[k] + -25.629 cr[k] + -25.773 c(1-r)[k],False
41,2nd_approach,0.7906043210907702,0.5960054,0.0,1.000 xQf[k],0.25,28.703 1 + 0.872 xQr[k] + -28.568 cr[k] + -28.693 c(1-r)[k],False
42,2nd_approach,1.0481131341546852,0.5917941,0.0,0.975 xQf[k],0.25,109.063 1 + 0.879 xQr[k] + -108.939 cr[k] + -109.064 c(1-r)[k],False
43,2nd_approach,1.389495494373136,0.5751113,0.0,0.948 xQf[k],0.25,-6.888 1 + 0.906 xQr[k] + 6.989 cr[k] + 6.890 c(1-r)[k],False
44,2nd_approach,1.8420699693267164,0.6023508,0.0,0.970 xQf[k],0.25,0.923 xQr[k] + 0.088 cr[k],False
45,2nd_approach,2.44205309454865,0.6030198,0.0,0.970 xQf[k],0.25,0.951 xQr[k] + 0.056 cr[k],False
46,2nd_approach,3.2374575428176398,0.6363386,0.0,0.910 xQf[k],0.25,0.058 1 + 0.946 xQr[k] + -0.056 c(1-r)[k],False
47,2nd_approach,4.291934260128778,0.59648,0.0,0.932 xQf[k],0.25,0.957 xQr[k] + 0.053 cr[k],False
48,2nd_approach,5.689866029018293,0.6164097,0.0,0.955 xQf[k],0.25,0.963 xQr[k] + 0.047 cr[k],False
49,2nd_approach,7.543120063354607,0.6436656,0.0,0.965 xQf[k],0.25,0.995 xQr[k],False
